Name;Type;Stereotype;Status;Notes;TagValue_Type;TagValue_Toelichting
VRAAG11;Class;Enterprisevraagstuk;Proposed;3 Uiterlijk in 2017 wegwerken. Mate van in control basiswerkzaamheden (must have).;Urgentie;
VRAAG12;Class;Enterprisevraagstuk;Proposed;4 Uiterlijk in 2018 wegwerken. Verdampen compensabele verliezen.;Urgentie;
VRAAG13;Class;Enterprisevraagstuk;Proposed;5 Uiterlijk in 2017 wegwerken. Marktwaarde en bedrijfswaarde zijn basisgegevens voor veel activiteiten (must have).;Urgentie;
VRAAG14;Class;Enterprisevraagstuk;Proposed;6 Uiterlijk in 2018 wegwerken. Vastgoedsturing. Vanaf scheiding Daeb / niet-Daeb.;Urgentie;
VRAAG15;Class;Enterprisevraagstuk;Proposed;7 Uiterlijk in 2018 wegwerken. Lagere mate van in control / verbeterambitie (nice to have).;Urgentie;
VRAAG16;Class;Enterprisevraagstuk;Proposed;8 Uiterlijk in 2018 wegwerken. Lagere mate van in control / verbeterambitie (nice to have).;Urgentie;
VRAAG17;Class;Enterprisevraagstuk;Proposed;9 Uiterlijk in 2018 wegwerken. Vanaf 2018 geldt de nieuwe wettelijke deadline (1 mei).;Urgentie;
VRAAG18;Class;Enterprisevraagstuk;Proposed;Belang is hoog. Besluitvorming mede o.b.v. de juiste financiele afweging (intern). Voldoen aan wet- en regelgeving (extern). Sanctie: verscherpt toezicht.;Belang;
VRAAG19;Class;Enterprisevraagstuk;Proposed;2, 3 en 9 Tijdig starten verbetertraject medewerkers: kennisniveau, kennisdelen, richtlijnen en samenwerking. Mogelijk medewerkers nieuw aannemen en/of afscheid nemen. Samen met externe accountant aan het begin van de controle duidelijke afspraken maken over wederzijdse verwachtingen.;Implicatie;
VRAAG20;Class;Enterprisevraagstuk;Proposed;Externe accountant & Woningwet: interne review binnen de financiele afdeling scherper neerzetten.;Aanleiding of Oorzaak;
VRAAG21;Class;Enterprisevraagstuk;Proposed;20 Uiterlijk 2018 wegwerken. Lagere mate in control (nice te have).;Urgentie;
VRAAG22;Class;Enterprisevraagstuk;Proposed;4 Project Vastgoedregistratie (afdeling IV) moet afgerond zijn in 2017. De activamodule (Aereon) moet geimplementeerd zijn in 2017. Kostenverdeelstaat / administratie scheidingsvoorstel moet gereed zijn in 2017. Vpb aangiften t/m 2015 voor 1 mei 2017 indienen.;Implicatie;
VRAAG23;Class;Enterprisevraagstuk;Proposed;5 Project Vastgoedregistratie (afdeling IV) moet afgerond zijn in 2017. Complexdefinities opstellen (S&B / P&C).;Implicatie;
VRAAG24;Class;Enterprisevraagstuk;Proposed;6 Organisatorische afspraken vastleggen: verantwoordelijkheden, bevoegdheden.;Implicatie;
VRAAG25;Class;Enterprisevraagstuk;Proposed;7 Het concept van de ronde organisatie implementeren en daarbij een werkwijze vinden.;Implicatie;
VRAAG26;Class;Enterprisevraagstuk;Proposed;"8 Het concept ""eigenaarschap"" implementeren. Het procesmanagement implementeren (T Hagbi). ";Implicatie;
VRAAG27;Class;Enterprisevraagstuk;Proposed;20 Het financieel reglement implementeren.;Implicatie;
VRAAG28;Class;Enterprisevraagstuk;Proposed;Algemeen: Onrust bij medewerkers (direct betrokkenen).;Risico;
VRAAG29;Class;Enterprisevraagstuk;Proposed;4 Verdampen verrekenbare verliezen.;Risico;
VRAAG30;Class;Enterprisevraagstuk;Proposed;Algemeen: Onvoldoende draagvlak / bereidheid tot medewerking bij medewerkers (organisatie breed).;Risico;
VRAAG31;Class;Enterprisevraagstuk;Proposed;9 Aanwijzing bij niet voldoen aan deadlines (extern).;Risico;
VRAAG32;Class;Enterprisevraagstuk;Proposed;5 en 6 Besluitvorming o.b.v. de onjuiste (financiele) afweging (intern). Suboptimale vastgoedbesluiten.;Risico;
VRAAG33;Class;Enterprisevraagstuk;Proposed;Onvoldoende verandervermogen t.a.v. dit verbetertraject.;Risico;
VRAAG34;Class;Enterprisevraagstuk;Proposed;Botsing met de uitwerking koers van De Key Ruimte voor beweging: Bijv. wijkgericht samenwerken. Verantwoording kosten op verzamelniveau;Risico;
