Name;Type;Stereotype;Status;Notes;TagValue_Niveau;TagValue_Type Vormgeving;TagValue_Type Zingeving;TagValue_Perspectief;TagValue_Niveau;TagValue_Enterprise
De beïnvloedbare netto bedrijfskosten van De Key bewegen zich op het niveau6 van het landelijk gemiddelde van XL7-corporaties.;Class;Uitspraak;Proposed;De beïnvloedbare netto bedrijfskosten van De Key bewegen zich op het niveau6 van het landelijk gemiddelde van XL7-corporaties (Aedes Benchmark) (XL = groter dan 25.000 vhe’s) . = hoogstens 10% boven het gemiddelde. In de benchmark 2015 bedraagt het XL-gemiddelde € 924,- per vhe. Het gemiddelde voor alle corporaties ligt op € 925,-. De kosten van De Key bedragen € 888,- per vhe.;Vormgeving;Doelstelling;;Fin.;Vormgeving;De Key Amsterdam
Het huurdersoordeel van de huurders van De Key beweegt zich op het landelijk niveau van het gemiddelde van XL-corporaties.;Class;Uitspraak;Proposed;Het huurdersoordeel van de huurders van De Key beweegt zich op het landelijk niveau van het gemiddelde van XL-corporaties (Aedes Benchmark).= hoogstens 0,2 pt onder het gemiddelde, met een minimum van 7.0. In de benchmark 2015 bedraagt het XL-gemiddelde 7.2. De gemiddelde huurderswaardering voor alle corporaties ligt op gemiddeld 7,4. De huurderswaardering bij De Key is 7.0;Vormgeving;Doelstelling;;Dienst.;Vormgeving;De Key Amsterdam
De Key betoont zich een goed rentmeester van haar eigen vermogen door een (meerjarig) rendemente te realiseren van inflatie plus 1%.;Class;Uitspraak;Proposed;De Key betoont zich een goed rentmeester van haar eigen vermogen door een (meerjarig) rendemente te realiseren van inflatie plus 1%.;Vormgeving;Doelstelling;;Fin.;Vormgeving;De Key Amsterdam
De Key bouwt het vreemde vermogen af en beschikt altijd over voldoende liquide middelen.;Class;Uitspraak;Proposed;De Key bouwt het vreemde vermogen af en beschikt altijd over voldoende liquide middelen.;Vormgeving;Beleidsuitspraak;;Fin.;Vormgeving;De Key Amsterdam
De Key introduceert tijdelijke huurcontracten voor woonstarters bij de verhuur van nietstudentenwoningen.;Class;Uitspraak;Proposed;De Key introduceert tijdelijke huurcontracten voor woonstarters bij de verhuur van nietstudentenwoningen. (2016);Vormgeving;Doelstelling;;Klant;Vormgeving;De Key Amsterdam
De Key huisvest 20% meer statushouders in Amsterdam dan op grond van de reguliere verdeling onder corporaties van haar verwacht mag worden.;Class;Uitspraak;Proposed;De Key huisvest 20% meer statushouders in Amsterdam dan op grond van de reguliere verdeling onder corporaties van haar verwacht mag worden (2016);Vormgeving;Doelstelling;;Klant;Vormgeving;De Key Amsterdam
De Key verkoopt al haar vastgoed en ontwikkelposities buiten Amsterdam, Diemen en Zandvoort.;Class;Uitspraak;Proposed;De Key verkoopt al haar vastgoed en ontwikkelposities buiten Amsterdam, Diemen en Zandvoort (conform begroting 2016);Vormgeving;Doelstelling;;Vastg.;Vormgeving;De Key Amsterdam
De Key presteert overeenkomstig de gemaakte samenwerkings- en prestatieafspraken met de gemeenten Amsterdam en Diemen.;Class;Uitspraak;Proposed;"De Key presteert overeenkomstig de gemaakte samenwerkings- en prestatieafspraken met de gemeenten Amsterdam en Diemen;";Vormgeving;Beleidsuitspraak;;Stakeh.;Vormgeving;De Key Amsterdam
De medewerk(st)er die met inachtneming van de bepalingen in deze (klokkenluiders)regeling een vermoeden van een misstand heeft gemeld.;Class;Uitspraak;Proposed;De medewerk(st)er die met inachtneming van de bepalingen in deze (klokkenluiders)regeling een vermoeden van een misstand heeft gemeld, wordt op geen enkele wijze in zijn positie benadeeld als gevolg van het melden.;Vormgeving;Principe;;Medew.;Vormgeving;De Key Amsterdam
De ervaringen opgedaan in 2015 met de nieuwe online dienstverlening worden in 2016 gebruikt om de online dienstverlening uit te breiden.;Class;Uitspraak;Proposed;De ervaringen opgedaan in 2015 met de nieuwe online dienstverlening worden in 2016 gebruikt om de online dienstverlening uit te breiden.;Vormgeving;Beleidsuitspraak;;Dienst.;Vormgeving;De Key Amsterdam
In 2016 wordt een nieuwe portefeuillestrategie vastgesteld.;Class;Uitspraak;Proposed;In 2016 wordt een nieuwe portefeuillestrategie vastgesteld;Vormgeving;Doelstelling;;Vastg.;Vormgeving;De Key Amsterdam
De Key werkt de principes die zijn vastgelegd in de koersnota over cultuur en leiderschap verder uit en richt op basis hiervan de afdeling Vastgoed opnieuw in.;Class;Uitspraak;Proposed;De Key werkt de principes die zijn vastgelegd in de koersnota over cultuur en leiderschap verder uit en richt op basis hiervan de afdeling Vastgoed opnieuw in.;Vormgeving;Doelstelling;;Medew.;Vormgeving;De Key Amsterdam
Eind 2016 heeft De Key een voorstel bij het ministerie ingediend voor splitsing van daeb en niet-daeb en aanpassing statuten De Key die voortvloeiend uit nieuwe Woningwet.;Class;Uitspraak;Proposed;Eind 2016 heeft De Key een voorstel bij het ministerie ingediend voor splitsing van daeb en niet-daeb en aanpassing statuten De Key die voortvloeiend uit nieuwe Woningwet;Vormgeving;Doelstelling;;Org.best.;Vormgeving;De Key Amsterdam
Eind 2016 ligt de uitvoering van het integrale verbeterplan op schema.;Class;Uitspraak;Proposed;Eind 2016 ligt de uitvoering van het integrale verbeterplan op schema;Vormgeving;Doelstelling;;Org.best.;Vormgeving;De Key Amsterdam
Ter ondersteuning van het oordeel van de RvT organiseert de bestuurder periodiek intern een 360o feedback op zijn functioneren.;Class;Uitspraak;Proposed;Ter ondersteuning van het oordeel van de RvT organiseert de bestuurder periodiek intern een 360o feedback op zijn functioneren.;Vormgeving;Doelstelling;;Org.best.;Vormgeving;De Key Amsterdam
Van Baan voor het leven naar Tijdelijke aanstelling.;Class;Uitspraak;Proposed;Van Baan voor het leven naar Tijdelijke aanstelling;Vormgeving;Principe;;Medew.;Vormgeving;De Key Amsterdam
Van LBO/MBO/HBO naar MBO/HBO/Universiteit.;Class;Uitspraak;Proposed;Van LBO/MBO/HBO naar MBO/HBO/Universiteit;Vormgeving;Beleidsuitspraak;;Medew.;Vormgeving;De Key Amsterdam
Van Handelen vanuit overtuiging naar (Zelf-)kritisch, reflecterend en integer.;Class;Uitspraak;Proposed;Van Handelen vanuit overtuiging naar (Zelf-)kritisch, reflecterend en integer;Vormgeving;Principe;;Medew.;Vormgeving;De Key Amsterdam
Van aanstelling in functie op afdeling naar aanstelling in algemene dienst.;Class;Uitspraak;Proposed;Van aanstelling in functie op afdeling naar aanstelling in algemene dienst;Vormgeving;Principe;;Medew.;Vormgeving;De Key Amsterdam
Van iedereen gelijke kansen op ander werk naar werk op basis van wederzijdse match.;Class;Uitspraak;Proposed;Van iedereen gelijke kansen op ander werk naar werk op basis van wederzijdse match.;Vormgeving;Principe;;Medew.;Vormgeving;De Key Amsterdam
Van taakgericht, directief naar verbindend, coachend. (management).;Class;Uitspraak;Proposed;Van taakgericht, directief naar verbindend, coachend. (management);Vormgeving;Principe;;Medew.;Vormgeving;De Key Amsterdam
Van perspectief vanuiut de afdeling naar perspectief vanuit het gehele bedrijf (management).;Class;Uitspraak;Proposed;Van perspectief vanuiut de afdeling naar perspectief vanuit het gehele bedrijf (management);Vormgeving;Principe;;Medew.;Vormgeving;De Key Amsterdam
Processen strak inrichten waar dat moet, ruimte voor maatwerk waar mogelijk.;Class;Uitspraak;Proposed;Processen strak inrichten waar dat moet, ruimte voor maatwerk waar mogelijk;Vormgeving;Principe;;Proc.;Vormgeving;De Key Amsterdam
Bewegen naar ruimte voor (experimenten met ) zelfsturing.;Class;Uitspraak;Proposed;Bewegen naar ruimte voor (experimenten met ) zelfsturing;Vormgeving;Principe;;Medew.;Vormgeving;De Key Amsterdam
Beperkte hoeveelheid managementlagen.;Class;Uitspraak;Proposed;Beperkte hoeveelheid managementlagen;Vormgeving;Doelstelling;;Org.best.;Vormgeving;De Key Amsterdam
Ons personeelsbestand past qua leeftijd steeds meer bij de doelgroep die De Key huisvest.;Class;Uitspraak;Proposed;Ons personeelsbestand past qua leeftijd steeds meer bij de doelgroep die De Key huisvest. Dat betekent dat we steeds meer jonge mensen gaan aanstellen.;Vormgeving;Beleidsuitspraak;;Medew.;Vormgeving;De Key Amsterdam
We creeeren maximale ruimte voor interne doorstroming.;Class;Uitspraak;Proposed;We creeeren maximale ruimte voor interne doorstroming;Vormgeving;Beleidsuitspraak;;Medew.;Vormgeving;De Key Amsterdam
Er is (in- en extern) ruimte voor het verkennen van ander werk.;Class;Uitspraak;Proposed;Er is (in- en extern) ruimte voor het verkennen van ander werk (stage, roulatie, tijdelijke functiewisseling e.d.);Vormgeving;Beleidsuitspraak;;Medew.;Vormgeving;De Key Amsterdam
X% van het personeelsbudghet is beschikbaar voor werkstages voor toetreders op de arbeidsmarkt.;Class;Uitspraak;Proposed;X% van het personeelsbudghet is beschikbaar voor werkstages voor toetreders op de arbeidsmarkt;Vormgeving;Beleidsuitspraak;;Medew.;Vormgeving;De Key Amsterdam
De labels sociale huur en vrije sector huur geven aan in welk segment de woning wordt verhuurd als hij leegkomt.;Class;Uitspraak;Proposed;De labels sociale huur en vrije sector huur geven aan in welk segment de woning wordt verhuurd als hij leegkomt.;Vormgeving;Beleidsuitspraak;;Vastg.;Vormgeving;De Key Amsterdam
Het label verkoop geeft aan dat de woning verkocht wordt bij leegkomst.;Class;Uitspraak;Proposed;Het label verkoop geeft aan dat de woning verkocht wordt bij leegkomst.;Vormgeving;Beleidsuitspraak;;Vastg.;Vormgeving;De Key Amsterdam
Daarnaast is er een label sloop. Dit betekent dat de planning is dat de woning in de komende 10 jaar gesloopt wordt.;Class;Uitspraak;Proposed;Daarnaast is er een label sloop. Dit betekent dat de planning is dat de woning in de komende 10 jaar gesloopt wordt.;Vormgeving;Beleidsuitspraak;;Vastg.;Vormgeving;De Key Amsterdam
Deze portefeuillestrategie vormt diverse aspecten.;Class;Uitspraak;Proposed;"Deze portefeuillestrategie …
… vormt het strategische kader voor vastgoedsturing;
… beschrijft de wensportefeuille;
… beschrijft de veranderopgave om tot die wensportefeuille te komen voor de periode 2016 - 2026;
… sluit aan op het ontwerpvoorstel voor de scheiding van DAEB en niet DAEB en de Meerjarenbegroting 2017 - 2026.";Vormgeving;Beleidsuitspraak;;Org.best.;Vormgeving;De Key Amsterdam
Wat doen we voor onze huidige huurders?;Class;Uitspraak;Proposed;"Wat doen we voor onze huidige huurders?
? We zorgen voor betaalbare huren.
? We houden de technische kwaliteit van de woningen in stand.
? We verbeteren de energetische kwaliteit.";Vormgeving;Beleidsuitspraak;;Klant;Vormgeving;De Key Amsterdam
We huisvesten vijf keer zoveel jongeren in de woningvoorraad binnen ons werkgebied. ;Class;Uitspraak;Proposed;We huisvesten vijf keer zoveel jongeren in de woningvoorraad binnen ons werkgebied. Nu (31-12-2015) huisvesten we 2.000 jongeren. We streven naar minimaal 10.000 jongeren (in 2026).;Vormgeving;Doelstelling;;Klant;Vormgeving;De Key Amsterdam
Het aantal studenten dat we huisvesten, houden we gelijk op 7.000.;Class;Uitspraak;Proposed;Het aantal studenten dat we huisvesten, houden we gelijk op 7.000 (2026);Vormgeving;Doelstelling;;Klant;Vormgeving;De Key Amsterdam
We vervangen 2.200 tijdelijke studenteneenheden die de komende periode uit exploitatie lopen door permanente eenheden (2026).;Class;Uitspraak;Proposed;We vervangen 2.200 tijdelijke studenteneenheden die de komende periode uit exploitatie lopen door permanente eenheden (2026).;Vormgeving;Doelstelling;;Vastg.;Vormgeving;De Key Amsterdam
90% (2026) van de verhuringen in ons werkgebied doen we aan jongeren onder de 33 jaar, studentenhuisvesting hierbuiten gelaten (31-12-2015 is dit 38 %).;Class;Uitspraak;Proposed;90% (2026) van de verhuringen in ons werkgebied doen we aan jongeren onder de 33 jaar, studentenhuisvesting hierbuiten gelaten (31-12-2015 is dit 38 %).;Vormgeving;Doelstelling;;Klant;Vormgeving;De Key Amsterdam
Minimaal 25% (in 2026) van de verhuringen aan jongeren doen we aan een jongere onder 23 jaar. (31-12-2015 is dit 2,5%);Class;Uitspraak;Proposed;Minimaal 25% (in 2026) van de verhuringen aan jongeren doen we aan een jongere onder 23 jaar. (31-12-2015 is dit 2,5%);Vormgeving;Doelstelling;;Klant;Vormgeving;De Key Amsterdam
Ons bezit buiten dit gebied (binnen en net buiten de ring)  stoten we in de loop van de tijd af.;Class;Uitspraak;Proposed;Ons bezit buiten dit gebied (binnen en net buiten de ring)  stoten we in de loop van de tijd af. Dit compenseren we met nieuwbouw binnen het werkgebied.;Vormgeving;Beleidsuitspraak;;Vastg.;Vormgeving;De Key Amsterdam
We brengen de huur van de zittende huurders en nieuwe huurders meer in evenwicht.;Class;Uitspraak;Proposed;We brengen de huur van de zittende huurders en nieuwe huurders meer in evenwicht.;Vormgeving;Beleidsuitspraak;;Klant;Vormgeving;De Key Amsterdam
We houden de woningen van zittende huurders betaalbaar.;Class;Uitspraak;Proposed;We houden de woningen van zittende huurders betaalbaar.;Vormgeving;Principe;;Klant;Vormgeving;De Key Amsterdam
We verhuren minimaal 75% van de sociale huurwoningen aan de primaire doelgroep.;Class;Uitspraak;Proposed;We verhuren minimaal 75% van de sociale huurwoningen aan de primaire doelgroep.;Vormgeving;Doelstelling;;Klant;Vormgeving;De Key Amsterdam
We verhuren ongeveer 25% van de sociale huurwoningen aan de secundaire doelgroep;Class;Uitspraak;Proposed;We verhuren ongeveer 25% van de sociale huurwoningen aan de secundaire doelgroep;Vormgeving;Doelstelling;;Klant;Vormgeving;De Key Amsterdam
Studenten vallen onder de primaire doelgroep. Hierbij past een huurprijs onder de lage aftoppingsgrens.;Class;Uitspraak;Proposed;Studenten vallen onder de primaire doelgroep. Hierbij past een huurprijs onder de lage aftoppingsgrens;Vormgeving;Beleidsuitspraak;;Klant;Vormgeving;De Key Amsterdam
We stellen woningen telkens weer opnieuw beschikbaar voor nieuwe woonstarters. Zo dragen we bij aan de doorstroming op de woningmarkt.;Class;Uitspraak;Proposed;We stellen woningen telkens weer opnieuw beschikbaar voor nieuwe woonstarters. Zo dragen we bij aan de doorstroming op de woningmarkt.;Vormgeving;Beleidsuitspraak;;Klant;Vormgeving;De Key Amsterdam
We zorgen voor woningen zelfstandig wonen én hebben een voorraad woningen waarin meerdere woonstarters met elkaar een woning delen.;Class;Uitspraak;Proposed;We zorgen voor woningen zelfstandig wonen én hebben een voorraad woningen waarin meerdere woonstarters met elkaar een woning delen;Vormgeving;Beleidsuitspraak;;Vastg.;Vormgeving;De Key Amsterdam
We houden de technische kwaliteit van ons vastgoed in stand op minimaal conditiescore 3.;Class;Uitspraak;Proposed;We houden de technische kwaliteit van ons vastgoed in stand op minimaal conditiescore 3.;Vormgeving;Doelstelling;;Vastg.;Vormgeving;De Key Amsterdam
We verbeteren de veiligheid. Het gaat dan vooral om brandveiligheid en het verwijderen van asbest.;Class;Uitspraak;Proposed;We verbeteren de veiligheid. Het gaat dan vooral om brandveiligheid en het verwijderen van asbest;Vormgeving;Beleidsuitspraak;;Vastg.;Vormgeving;De Key Amsterdam
We verbeteren de energetische kwaliteit.;Class;Uitspraak;Proposed;We verbeteren de energetische kwaliteit.;Vormgeving;Beleidsuitspraak;;Vastg.;Vormgeving;De Key Amsterdam
Wij richten ons op de woonstarter die kiest voor en een kleine, functionele woonplek.;Class;Uitspraak;Proposed;Wij richten ons op de woonstarter die kiest voor en een kleine, functionele woonplek.;Vormgeving;Beleidsuitspraak;;Klant;Vormgeving;De Key Amsterdam
We slopen in principe geen permanente woningen tot en met 2026.;Class;Uitspraak;Proposed;We slopen in principe geen permanente woningen tot en met 2026.;Vormgeving;Doelstelling;;Vastg.;Vormgeving;De Key Amsterdam
Schoon (algemene ruimte) is de verantwoordelijkheid van de huurder.;Class;Uitspraak;Proposed;Schoon (algemene ruimte) is de verantwoordelijkheid van de huurder.;Vormgeving;Principe;;Klant;Vormgeving;De Key Amsterdam
We doen geen hoog niveaurenovaties met plattegrondwijziging, zoals we dat in het verleden hebben gedaan.;Class;Uitspraak;Proposed;We doen geen hoog niveaurenovaties met plattegrondwijziging, zoals we dat in het verleden hebben gedaan.;Vormgeving;Beleidsuitspraak;;Vastg.;Vormgeving;De Key Amsterdam
We ontwikkelen koopvormen voor mensen die een woning willen kopen maar dat nog niet zelfstandig kunnen.;Class;Uitspraak;Proposed;"We ontwikkelen koopvormen voor mensen die een woning willen kopen maar dat nog niet zelfstandig kunnen. Bij deze koopvorm wordt de bewoner steeds meer eigenaar van de woning.
We onderzoeken de mogelijkheden om te participeren in initiatieven van bewonerscollectieven of deelname aan (maatschappelijk relevante) vastgoedfondsen.";Vormgeving;Beleidsuitspraak;;Klant;Vormgeving;De Key Amsterdam
Woningen die minder geschikt zijn voor woonstarters stoten we af.;Class;Uitspraak;Proposed;Woningen die minder geschikt zijn voor woonstarters stoten we af.;Vormgeving;Beleidsuitspraak;;Vastg.;Vormgeving;De Key Amsterdam
