Name;Type;Stereotype;Status;Notes;TagValue_Ben.Veranderinitiatief;TagValue_Clusters;TagValue_Toelichting;TagValue_Perspectief
OPLCONTOUR57;Class;Oplossingscontour;Proposed;Expliciet maken rollen in klantprocessen: wie is waar eigenaar van?;;Proces;;Klant
OPLCONTOUR58;Class;Oplossingscontour;Proposed;Geen huurdersactiviteiten verrichten: alleen verhuurdersactiviteiten;;Proces;;Klant
OPLCONTOUR59;Class;Oplossingscontour;Proposed;Afspraken in convenanten vertalen naar intern eigenaarschap;;Proces;;Stakeholders
OPLCONTOUR60;Class;Oplossingscontour;Proposed;Vooraf operationaliseren van onze bijdrage / doelstellingen;;Proces;;Stakeholders
OPLCONTOUR61;Class;Oplossingscontour;Proposed;"Proces opdrachtgeven in ""Wijkgericht samenwerken"" in kaart brengen. Zodat het proces ondersteunend is.";;Proces;;Dienstverlening
OPLCONTOUR62;Class;Oplossingscontour;Proposed;Verbeteren dataverwerking werkbonnen tbv technische en financiele gereedmeelding;;Proces;;Dienstverlening
OPLCONTOUR63;Class;Oplossingscontour;Proposed;Zorgpartijen die niet voldoen aan dienstovereenkomst, dan leveren wij geen woningen;;Proces;;Dienstverlening
OPLCONTOUR64;Class;Oplossingscontour;Proposed;Meer prioritering en proceseigenaarschap tevoren duidelijk vastleggen;;Proces;;Dienstverlening
OPLCONTOUR65;Class;Oplossingscontour;Proposed;Verbeteren koppelingen en vaststellen authentieke bron (systeem);;Systeem;;Informatievoorziening
OPLCONTOUR66;Class;Oplossingscontour;Proposed;Verbeteren koppelingen en vaststellen authentieke bron (systeem);;Systeem;;Informatievoorziening
OPLCONTOUR67;Class;Oplossingscontour;Proposed;Systemen voorbereiden cq aanpassen op vastgoedregistratie;;Systeem;;Informatievoorziening
OPLCONTOUR68;Class;Oplossingscontour;Proposed;DMS systemen voorbereiden cq aanpassen op dossier-verwerking;;Systeem;;Informatievoorziening
OPLCONTOUR69;Class;Oplossingscontour;Proposed;Verbeteren informatievoorziening ter voorkoming van extra systemen (Excel e.d.);;Systeem;;Informatievoorziening
OPLCONTOUR70;Class;Oplossingscontour;Proposed;Werken vanuit 1 automatiseringssysteem (denk aan Reaforce, SG, Wocas, Basware, urenregistratie);;Systeem;;Leveranciers
OPLCONTOUR71;Class;Oplossingscontour;Proposed;Werken vanuit 1 automatiseringssysteem (denk aan Reaforce, SG, Wocas, Basware, urenregistratie);;Systeem;;Vastgoed
OPLCONTOUR72;Class;Oplossingscontour;Proposed;Digitaal facilteren wijkteams;;Systeem;prioritering investeringen;Klant
